Ensemble_ID	NOM_1	NOM_2	OSF_1	OSF_2	OSCC_1	OSCC_2
ENSG00000236269	58	40	28	130	64	20
ENSG00000230679	3	3	8	8	4	1
ENSG00000201725	0	0	0	0	2	0
ENSG00000238249	0	4	0	5	8	1
ENSG00000232208	2	6	5	4	22	8
ENSG00000232663	0	0	0	0	3	0
ENSG00000131686	0	0	0	4	144	8
ENSG00000265141	0	0	0	0	2	0
ENSG00000197241	0	0	0	3	28	13
ENSG00000142583	168	880	2505	63	488	188
ENSG00000252404	0	0	0	0	4	0
ENSG00000180758	3818	3297	3036	866	3173	1278
ENSG00000207865	1	1	2	6	1	0
ENSG00000228526	13	5	4	23	12	5
ENSG00000234546	30	31	16	20	35	13
ENSG00000049239	4712	5282	6201	4701	3086	1442
ENSG00000252841	0	0	0	0	2	0
ENSG00000171621	1532	2355	1470	2941	4239	1020
ENSG00000252956	0	0	0	0	4	0
ENSG00000235263	0	21	2	2	4	2
ENSG00000171612	209	630	258	233	438	141
ENSG00000231181	4	19	16	4	6	1
ENSG00000188807	327	514	505	481	296	167
ENSG00000171608	551	325	413	1825	769	874
ENSG00000179840	0	2	2	16	28	12
ENSG00000233268	0	0	2	4	9	0
ENSG00000231789	16	26	18	45	99	23
ENSG00000171603	7493	5983	7769	32317	18235	7240
ENSG00000271264	6	2	8	25	12	12
ENSG00000178585	3962	6050	3640	4180	4923	2662
ENSG00000223989	0	0	0	0	0	0
ENSG00000162441	1074	1094	1096	1416	2207	951
ENSG00000228150	18	33	22	25	27	15
ENSG00000173614	367	538	828	224	583	360
ENSG00000202415	2	2	7	16	8	2
ENSG00000265521	0	0	1	0	3	0
ENSG00000241326	0	0	0	0	0	0
ENSG00000162444	292	198	154	12	24	12
ENSG00000225786	0	0	0	1	5	2
ENSG00000130939	3242	3043	3012	2659	4413	1513
ENSG00000224340	2	1	0	2	6	5
ENSG00000233623	9	2	8	26	33	9
ENSG00000201746	2	0	7	8	2	0
ENSG00000054523	6087	18212	20390	6703	7873	5622
ENSG00000264881	0	3	0	5	2	5
ENSG00000199562	2	15	12	14	10	19
ENSG00000264501	0	0	0	0	0	0
ENSG00000265945	7	8	17	4	5	4
ENSG00000142657	30522	18735	12112	2606	36303	3301
ENSG00000271989	0	0	0	0	0	4
ENSG00000175279	48	46	31	22	82	33
ENSG00000251503	0	0	0	0	0	0
ENSG00000241563	2	10	1	14	5	6
ENSG00000160049	1550	1673	1901	1591	2814	1276
ENSG00000203469	0	0	0	0	0	0
ENSG00000142655	279	315	354	644	349	251
ENSG00000243267	1	8	0	6	6	4
ENSG00000130940	1620	1941	1509	478	1053	525
ENSG00000272078	148	37	95	31	86	65
ENSG00000225158	0	0	0	0	0	2
ENSG00000175262	4	33	137	12	37	16
ENSG00000215785	0	0	0	0	10	0
ENSG00000264181	0	0	0	0	2	1
ENSG00000207213	0	0	0	0	2	0
ENSG00000120948	3407	3745	3979	5245	4920	2519
ENSG00000009724	46	75	55	57	148	31
ENSG00000271895	21	37	23	45	33	25
ENSG00000116649	585	727	974	1360	1600	541
ENSG00000171824	1430	1457	1377	2128	2141	856
ENSG00000226849	2	4	2	5	3	0
ENSG00000230337	1	5	8	13	5	0
ENSG00000198793	4267	4831	5456	6210	6918	2801
ENSG00000225602	2	10	10	4	13	10
ENSG00000253086	1	2	0	2	2	0
ENSG00000271794	2	0	4	2	3	4
ENSG00000171819	43	107	149	58	58	22
ENSG00000207451	0	0	0	0	2	0
ENSG00000238173	0	6	0	0	3	1
ENSG00000120942	559	797	890	828	1241	334
ENSG00000238199	2	7	0	2	6	1
ENSG00000224338	0	0	0	1	3	1
ENSG00000204624	0	6	18	300	75	40
ENSG00000235643	0	0	0	1	19	1
ENSG00000116661	224	255	325	476	776	265
ENSG00000132879	421	375	280	691	773	145
ENSG00000116663	215	202	207	483	557	94
ENSG00000116670	210	376	552	1613	767	285
ENSG00000162490	14	4	8	19	81	21
ENSG00000177674	328	452	405	1625	1806	503
ENSG00000215910	0	0	2	11	41	27
ENSG00000177553	0	0	0	2	12	5
ENSG00000177000	1148	1587	1843	890	1259	640
ENSG00000011021	465	720	642	848	806	288
ENSG00000242349	9	1	12	2	12	7
ENSG00000175206	1	8	4	3	14	10
ENSG00000120937	0	0	0	2	11	2
ENSG00000224904	0	0	2	8	16	2
ENSG00000199347	135	94	243	691	155	538
ENSG00000201801	6	24	17	63	15	66
ENSG00000116685	1671	2125	2275	4250	3436	1251
ENSG00000083444	1517	1244	1646	9958	3299	2143
ENSG00000116688	5823	9335	11568	10554	9507	4251
ENSG00000270914	2	0	0	0	1	0
ENSG00000116691	306	297	436	929	726	413
ENSG00000202461	12	4	0	3	6	0
ENSG00000243539	0	0	0	0	1	0
ENSG00000120949	24	16	70	66	122	81
ENSG00000201135	0	0	0	0	3	3
ENSG00000227875	0	0	0	1	2	0
ENSG00000028137	785	1082	1070	1629	851	176
ENSG00000263676	0	2	1	2	0	2
ENSG00000225196	0	2	0	0	4	0
ENSG00000252969	0	0	0	0	0	0
ENSG00000048707	15274	20016	18247	16986	14564	9155
ENSG00000239149	25	20	30	29	32	11
ENSG00000229484	8	0	0	0	6	1
ENSG00000162496	2184	3215	1443	1245	5270	791
ENSG00000221340	2	4	0	2	5	3
ENSG00000272482	57	88	40	2	90	3
ENSG00000204518	0	0	0	4	12	13
ENSG00000226166	0	0	0	0	0	1
ENSG00000188984	0	0	0	4	32	9
ENSG00000238771	0	0	0	4	0	0
ENSG00000157330	0	0	0	8	50	9
ENSG00000116726	0	0	0	0	27	4
ENSG00000116721	0	0	0	7	37	9
ENSG00000228338	0	0	0	0	8	1
ENSG00000204513	0	0	0	0	40	13
ENSG00000231103	0	0	0	5	20	5
ENSG00000179172	2	1	0	0	26	11
ENSG00000120952	0	0	0	0	30	10
ENSG00000243073	0	0	0	1	15	13
ENSG00000187545	0	0	0	2	15	12
ENSG00000204510	0	0	0	0	4	3
ENSG00000207434	0	0	0	0	4	3
ENSG00000234064	0	0	0	0	7	0
ENSG00000232423	0	0	0	1	7	3
ENSG00000250894	0	0	0	1	3	6
ENSG00000204508	0	0	0	0	2	0
ENSG00000239810	0	0	0	0	6	2
ENSG00000270601	0	0	0	0	0	0
ENSG00000250113	0	0	0	0	12	2
ENSG00000204505	0	0	0	0	0	0
ENSG00000233336	0	0	0	0	2	0
ENSG00000229978	0	0	0	2	7	0
ENSG00000236179	0	0	0	5	10	6
ENSG00000179412	0	0	0	2	18	6
ENSG00000224199	0	0	0	3	8	0
ENSG00000229571	0	0	0	1	7	3
ENSG00000204503	0	0	0	0	1	4
ENSG00000233394	0	0	0	2	4	7
ENSG00000204502	0	0	0	4	4	1
ENSG00000231219	0	0	0	0	2	2
ENSG00000207511	0	0	0	0	0	0
ENSG00000182330	0	0	0	0	0	0
ENSG00000237700	0	0	0	0	0	0
ENSG00000204501	0	0	0	0	1	0
ENSG00000228229	0	0	0	0	2	0
ENSG00000204495	0	0	0	1	2	1
ENSG00000204491	0	0	0	0	8	0
ENSG00000204488	0	0	0	0	0	0
ENSG00000204486	0	0	0	0	0	0
ENSG00000204485	0	0	0	0	0	0
ENSG00000224581	0	0	0	0	5	4
ENSG00000157358	0	0	0	0	2	3
ENSG00000204481	0	0	0	1	4	0
ENSG00000204480	0	0	0	0	0	0
ENSG00000204479	0	0	0	0	4	2
